controller,cell,time_s,pack_current_A,balancing_current_A,cell_current_A,voltage_V,soc,positive_gradient_mol_m3,total_overpotential_V
Electrochemical,Cell 1,2350.0,1.25,0.0,1.25,3.7577553967930273,0.5662499999999965,2171.9559801793403,-0.028016823602680593
Electrochemical,Cell 2,2350.0,1.25,0.0,1.25,3.7510772238821453,0.5495408163265321,1693.4956003309635,-0.03010835875188639
Electrochemical,Cell 3,2350.0,1.25,-0.25,1.0,3.757523301358204,0.5356028368794354,568.4979127509746,-0.040121135945088746
Electrochemical,Cell 4,2350.0,1.25,0.25,1.5,3.75637244169068,0.5661952861952897,2340.0358697389397,-0.022362014848200037
Electrochemical,Cell 1,2360.0,1.25,0.0,1.25,3.757385241299646,0.565555555555552,2151.1806432741882,-0.028290052586123025
Electrochemical,Cell 2,2360.0,1.25,0.0,1.25,3.7503792417793775,0.5488321995464868,1699.3022327467297,-0.03010750693606704
Electrochemical,Cell 3,2360.0,1.25,-0.25,1.0,3.7569687990432348,0.535011820330972,574.3044667813742,-0.04012250594313674
Electrochemical,Cell 4,2360.0,1.25,0.25,1.5,3.7552887205966217,0.5653535353535388,2372.423474807163,-0.022083699368075818
Electrochemical,Cell 1,2370.0,1.25,0.0,1.25,3.7569819295087807,0.5648611111111076,2131.71618711834,-0.028528777577750776
Electrochemical,Cell 2,2370.0,1.25,0.0,1.25,3.7496822170599766,0.5481235827664415,1704.9429563727244,-0.030106692215136396
Electrochemical,Cell 3,2370.0,1.25,-0.25,1.0,3.756417221182029,0.5344208037825087,579.9449003022123,-0.04012391274180698
Electrochemical,Cell 4,2370.0,1.25,0.25,1.5,3.7542401734744444,0.564511784511788,2403.1685140998907,-0.02183996460017692
Electrochemical,Cell 1,2380.0,1.25,0.0,1.25,3.756549696182937,0.5641666666666632,2113.484755955184,-0.028737316402760085
Electrochemical,Cell 2,2380.0,1.25,0.0,1.25,3.7489861292190967,0.5474149659863962,1710.4220440779754,-0.030105914577895826
Electrochemical,Cell 3,2380.0,1.25,-0.25,1.0,3.7558685445739552,0.5338297872340453,585.4234166029007,-0.04012535635601723
Electrochemical,Cell 4,2380.0,1.25,0.25,1.5,3.7532224365228397,0.5636700336700371,2432.357333135218,-0.021626492654863633
Electrochemical,Cell 1,2390.0,1.25,0.0,1.25,3.7560922271320516,0.5634722222222187,2096.4132192071097,-0.02891944714639227
Electrochemical,Cell 2,2390.0,1.25,0.0,1.25,3.74829096420749,0.5467063492063509,1715.7436015007188,-0.030105174012307796
Electrochemical,Cell 3,2390.0,1.25,-0.25,1.0,3.7553227216895344,0.5332387706855819,590.744574020727,-0.04012683681913111
Electrochemical,Cell 4,2390.0,1.25,0.25,1.5,3.7522316938371234,0.5628282828282862,2460.071526340479,-0.02143950537596409
Electrochemical,Cell 1,2400.0,1.25,0.0,1.25,3.7556131410931686,0.5627777777777743,2080.3879667794436,-0.029078475510149377
Electrochemical,Cell 2,2400.0,1.25,0.0,1.25,3.7475971684699516,0.5459977324263056,1720.8662217339006,-0.03010447034478558
Electrochemical,Cell 3,2400.0,1.25,-0.25,1.0,3.754780180739842,0.5326477541371185,595.8668379154522,-0.0401283539207363
Electrochemical,Cell 4,2400.0,1.25,0.25,1.5,3.7512650508735006,0.5619865319865354,2486.3427919521655,-0.02127569674778307
Electrochemical,Cell 1,2410.0,1.25,0.0,1.25,3.7551145317480676,0.5620833333333298,2065.4168549734713,-0.02921729421751727
Electrochemical,Cell 2,2410.0,1.25,0.0,1.25,3.7469038642331327,0.5452891156462603,1725.868210669818,-0.030103803845666622
Electrochemical,Cell 3,2410.0,1.25,-0.25,1.0,3.7542400575347994,0.5320567375886551,600.8685681167381,-0.04012990812910019
Electrochemical,Cell 4,2410.0,1.25,0.25,1.5,3.7503187555386748,0.5611447811447845,2511.3184538555242,-0.02113217430491043
Electrochemical,Cell 1,2420.0,1.25,0.0,1.25,3.7545990219421217,0.5613888888888854,2051.420537213506,-0.02933843424959125
Electrochemical,Cell 2,2420.0,1.25,0.0,1.25,3.746211229434106,0.544580498866215,1730.735341827727,-0.030103174442304363
Electrochemical,Cell 3,2420.0,1.25,-0.25,1.0,3.7537025234400163,0.5314657210401917,605.735393883107,-0.04013149936702314
Electrochemical,Cell 4,2420.0,1.25,0.25,1.5,3.7493904215285605,0.5603030303030336,2535.0496330729566,-0.02100640692374376
