cell,time_s,current_A,voltage_V,soc,capacity_ah,contact_resistance_ohm,negative_gradient_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
Cell 3,540.0,2.5,3.787185710489044,0.6402127659574468,4.7,0.022,-455.33540771439584,3169.869023380743,0.04932866113509032,-0.0063277473413011565,-0.05565640847639147
Cell 3,550.0,2.5,3.7855103311354017,0.6387352245862885,4.7,0.022,-455.3339304401452,3187.7811699127997,0.049311742575166205,-0.006327856235985035,-0.05563959881115124
Cell 3,560.0,2.5,3.7838536460325716,0.6372576832151301,4.7,0.022,-455.33586866171754,3205.189436303288,0.04929506532014744,-0.006327985370297693,-0.05562305069044514
Cell 3,570.0,2.5,3.7822156346327045,0.6357801418439717,4.7,0.022,-455.33707266065176,3222.098843172138,0.049278629688934664,-0.006328134513223958,-0.05560676420215862
Cell 3,580.0,2.5,3.780595869277863,0.6343026004728133,4.7,0.022,-455.3406745287866,3238.5273465153623,0.04926243446781675,-0.006328303473360985,-0.055590737941177734
Cell 3,590.0,2.5,3.7789940059158207,0.6328250591016549,4.7,0.022,-455.34666031574307,3254.4855037995076,0.04924647922925742,-0.006328492051114627,-0.055574971280372046
Cell 3,600.0,2.5,3.7774105780559943,0.6313475177304966,4.7,0.022,-455.3497929830628,3269.894458866871,0.04923076469327643,-0.00632869988367479,-0.055559464576951226
Cell 3,610.0,2.5,3.775843507461409,0.6298699763593382,4.7,0.022,-455.35242475886844,3284.9175364377043,0.04921528890705088,-0.006328927048954538,-0.05554421595600542
Cell 3,620.0,2.5,3.77429256884733,0.6283924349881798,4.7,0.022,-455.35458900003505,3299.5243178530254,0.04920005119855367,-0.006329173325935641,-0.05552922452448931
Cell 3,630.0,2.5,3.7727571811794847,0.6269148936170214,4.7,0.022,-455.35639541081764,3313.7179227250454,0.04918505090414455,-0.006329438549622857,-0.05551448945376741
Cell 3,640.0,2.5,3.7712365248797335,0.6254373522458629,4.7,0.022,-455.357943044306,3327.5232510444184,0.04917028735451479,-0.006329722608229121,-0.055500009962743915
Cell 3,650.0,2.5,3.769729743064015,0.6239598108747046,4.7,0.022,-455.35935427985896,3340.964764976281,0.04915575989540342,-0.006330025408003948,-0.055485785303407364
Cell 3,660.0,2.5,3.768236486146085,0.6224822695035462,4.7,0.022,-455.36049908388304,3354.0164723724884,0.04914146788136538,-0.0063303467263017025,-0.05547181460766708
Cell 3,670.0,2.5,3.7667561200481527,0.6210047281323878,4.7,0.022,-455.36137745640735,3366.6783732330805,0.04912741067994146,-0.006330686403499008,-0.05545809708344047
Cell 3,680.0,2.5,3.7652880037728136,0.6195271867612294,4.7,0.022,-455.36198939741735,3378.9504675580647,0.049113587670112195,-0.006331044280835544,-0.05544463195094774
Cell 3,690.0,2.5,3.7638309986952594,0.618049645390071,4.7,0.022,-455.3625167254613,3390.8800468363406,0.0490999982391204,-0.0063314203575021155,-0.05543141859662252
Cell 3,700.0,2.5,3.762384569949838,0.6165721040189127,4.7,0.022,-455.3629192260778,3402.4566511724734,0.04908664178941675,-0.006331814463223179,-0.05541845625263993
Cell 3,710.0,2.5,3.7609479583207572,0.6150945626477543,4.7,0.022,-455.3632209809293,3413.692520929664,0.04907351773124613,-0.006332226502832297,-0.05540574423407843
Cell 3,720.0,2.5,3.7595202959210687,0.6136170212765959,4.7,0.022,-455.3634803968489,3424.611292360576,0.04906062548468133,-0.00633265643236273,-0.05539328191704406
Cell 3,730.0,2.5,3.7581011202793233,0.6121394799054375,4.7,0.022,-455.36366304710464,3435.1990335559494,0.04904796448759836,-0.0063331040781281515,-0.055381068565726506
Cell 3,740.0,2.5,3.7566894350259346,0.6106619385342791,4.7,0.022,-455.36382808404596,3445.4958934489114,0.049035534179432,-0.0063335694719307105,-0.05536910365136272
Cell 3,750.0,2.5,3.755284844311336,0.6091843971631208,4.7,0.022,-455.363950873525,3455.485151906778,0.049023334020609856,-0.006334052439077222,-0.055357386459687075
Cell 3,760.0,2.5,3.7538866280471717,0.6077068557919624,4.7,0.022,-455.364045475264,3465.1847421395105,0.04901136347741614,-0.006334552939687831,-0.05534591641710397
Cell 3,770.0,2.5,3.7524940970371876,0.606229314420804,4.7,0.022,-455.3641254156246,3474.611878905718,0.04899962202712913,-0.006335070942146849,-0.055334692969275984
Cell 3,780.0,2.5,3.751106812551509,0.6047517730496456,4.7,0.022,-455.3641868355917,3483.7616508950377,0.048988109160245284,-0.006335606328065328,-0.05532371548831061
Cell 3,790.0,2.5,3.749724275607897,0.6032742316784871,4.7,0.022,-455.36423288763035,3492.6380702056413,0.04897682437691096,-0.006336159017370071,-0.055312983394281034
Cell 3,800.0,2.5,3.7483459330957034,0.6017966903073289,4.7,0.022,-455.36426675244,3501.253750780601,0.04896576718784709,-0.006336728971365605,-0.0553024961592127
Cell 3,810.0,2.5,3.746971244678849,0.6003191489361704,4.7,0.022,-455.3642916160352,3509.622914741547,0.04895493711431053,-0.006337316166543312,-0.05529225328085384
Cell 3,820.0,2.5,3.7455998353819653,0.598841607565012,4.7,0.022,-455.36431061884286,3517.745904265066,0.04894433368807911,-0.006337920522091514,-0.05528225421017062
Cell 3,830.0,2.5,3.7442312981061985,0.5973640661938536,4.7,0.022,-455.3643269222739,3525.629456097933,0.0489339564513292,-0.0063385419892895535,-0.05527249844061875
Cell 3,840.0,2.5,3.7428652477735644,0.5958865248226952,4.7,0.022,-455.3643401266236,3533.281455093318,0.048923804957073824,-0.006339180527747185,-0.05526298548482101
Cell 3,850.0,2.5,3.7415013228785736,0.5944089834515369,4.7,0.022,-455.36434721414844,3540.7106301667372,0.04891387876892921,-0.006339836104868964,-0.055253714873798175
Cell 3,860.0,2.5,3.740139209157904,0.5929314420803784,4.7,0.022,-455.36435355453796,3547.923006120869,0.048904177459615186,-0.006340508683409339,-0.055244686143024524
Cell 3,870.0,2.5,3.7387786129410827,0.5914539007092201,4.7,0.022,-455.3643609350838,3554.9257627127918,0.04889470061251967,-0.006341198234494157,-0.05523589884701383
Cell 3,880.0,2.5,3.73741928457212,0.5899763593380617,4.7,0.022,-455.3643687858166,3561.7247798405588,0.04888544782142383,-0.00634190472476784,-0.05522735254619167
Cell 3,890.0,2.5,3.7360610267574375,0.5884988179669033,4.7,0.022,-455.3643729196556,3568.3239429457317,0.048876418690557755,-0.0063426281103271245,-0.05521904680088488
Cell 3,900.0,2.5,3.7347036125903537,0.5870212765957449,4.7,0.022,-455.36437724583084,3574.7316018381352,0.04886761283323731,-0.00634336838192028,-0.05521098121515759
Cell 3,910.0,2.5,3.7333468631038573,0.5855437352245865,4.7,0.022,-455.36438240292046,3580.9543028201224,0.04885902987312257,-0.006344125522174657,-0.05520315539529723
