time_s,current_A,voltage_V,soc,negative_particle_average_mol_m3,negative_particle_surface_mol_m3,negative_surface_minus_average_mol_m3,positive_particle_average_mol_m3,positive_particle_surface_mol_m3,positive_surface_minus_average_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
2880.0,2.5,3.519762737715284,0.31666666666666726,10753.676511482223,10298.312085375048,-455.36442610717495,40099.38318438474,43804.58537175131,3705.2021873665726,0.051678231762294614,-0.006863325272932397,-0.05854155703522701
2890.0,2.5,3.5184180668627616,0.31527777777777843,10714.193759375394,10258.82933418845,-455.3644251869446,40148.03845142374,43855.69504097265,3707.656589548911,0.051719729794612514,-0.006868395362940558,-0.05858812515755307
2900.0,2.5,3.517063587327597,0.3138888888888895,10674.71100748516,10219.3465828713,-455.36442461386105,40196.741783035104,43906.77522870081,3710.0334456657074,0.051761595601020435,-0.0068734949288546485,-0.05863509052987508
2910.0,2.5,3.5156994445303695,0.31250000000000067,10635.228255811526,10179.863831423592,-455.36442438793347,40245.49317921882,43957.82593493582,3712.332755716998,0.05180383168325865,-0.006878624097703568,-0.05868245578096222
2920.0,2.5,3.5143256652873722,0.31111111111111184,10595.745504006194,10140.38108005529,-455.3644239509049,40294.27622732929,44008.85754392967,3714.581316600379,0.05184644057695983,-0.006883784051091395,-0.05873022462805122
2930.0,2.5,3.5129425142880413,0.3097222222222229,10556.262752279172,10100.898328639796,-455.3644236393757,40343.10082351797,44059.86379440474,3716.762970886768,0.05188942485275322,-0.0068889742995345195,-0.05877839915228774
2940.0,2.5,3.5115501957369997,0.30833333333333396,10516.780000639897,10061.415577171423,-455.36442346847434,40391.967412437196,44110.84440503025,3718.8769925930537,0.051932787116303114,-0.006894194953094713,-0.05882698206939783
2950.0,2.5,3.510148928536214,0.30694444444444513,10477.297249088368,10021.932825650167,-455.3644234382009,40440.87599408697,44161.79937580625,3720.92338171928,0.05197653000896904,-0.0068994461515596425,-0.058875976160528684
2960.0,2.5,3.5087389316707216,0.3055555555555562,10437.814497594562,9982.45007409412,-455.36442350044126,40489.82435405046,44212.730094652245,3722.905740601782,0.05202065620834035,-0.006904728180497525,-0.058925384388837876
2970.0,2.5,3.507320419242089,0.30416666666666736,10398.331746090418,9942.967322544317,-455.36442354610153,40538.807472490495,44263.63970782772,3724.8322353372278,0.052065168428789686,-0.006910041514630824,-0.05897520994342051
2980.0,2.5,3.5058936859505296,0.3027777777777784,10358.84899461083,9903.48457097972,-455.3644236311102,40587.82792298186,44314.52660230549,3726.6986793236283,0.052110069422140345,-0.006915386137024068,-0.059025455559164414
2990.0,2.5,3.50445909555642,0.3013888888888896,10319.366243134516,9864.00181941315,-455.3644237213666,40636.89487305515,44365.385252473956,3728.4903794188067,0.05215536197814204,-0.0069207616131179124,-0.05907612359125995
3000.0,2.5,3.5030167960322576,0.30000000000000066,10279.883491650235,9824.519067851372,-455.36442379886284,40685.98823861398,44416.22788051922,3730.2396419052384,0.05220104892511078,-0.006926169388703258,-0.05912721831381404
3000.0000000000005,0.0,3.5621440143460714,0.30000000000000066,10279.883491650235,9824.519067851372,-455.36442379886284,40685.98823861398,44416.22788051922,3730.2396419052384,0.0,0.0,0.0
3010.0,0.0,3.568756201607822,0.30000000000000066,10255.925620412276,9944.708559620625,-311.2170607916505,40717.0439865119,44077.539716580985,3360.4957300690876,0.0,0.0,0.0
3020.0,0.0,3.5720683403466227,0.30000000000000066,10234.24131108244,9985.373041759309,-248.86826932313124,40747.374017758,43879.77558079003,3132.4015630320355,0.0,0.0,0.0
3030.0,0.0,3.5743568898616966,0.30000000000000066,10214.498367188735,10010.76217869284,-203.73618849589548,40777.12939093283,43739.36492402877,2962.23553309594,0.0,0.0,0.0
3040.0,0.0,3.5761218059858946,0.30000000000000066,10196.732614118697,10028.817768725983,-167.9148453927137,40806.38645067758,43629.03888085019,2822.6524301726095,0.0,0.0,0.0
3050.0,0.0,3.5775645277534336,0.30000000000000066,10181.036980200422,10042.389598870885,-138.6473813295379,40835.19103814233,43537.30282074914,2702.1117826068075,0.0,0.0,0.0
3060.0,0.0,3.5787844923851844,0.30000000000000066,10167.421358705817,10052.901584612413,-114.51977409340361,40863.57327600202,43458.49459301445,2594.921317012435,0.0,0.0,0.0
3070.0,0.0,3.5798425271513836,0.30000000000000066,10155.783305031375,10061.233089012936,-94.55021601843873,40891.5546711698,43389.15491925376,2497.6002480839597,0.0,0.0,0.0
3080.0,0.0,3.580775504546457,0.30000000000000066,10145.943420720589,10067.912271529902,-78.03114919068685,40919.15068826436,43327.17675846537,2408.0260702010128,0.0,0.0,0.0
3090.0,0.0,3.5816082459958185,0.30000000000000066,10137.68671305732,10073.306888246672,-64.37982481064682,40946.37270059386,43271.15530754636,2324.7826069524963,0.0,0.0,0.0
3100.0,0.0,3.582359467774241,0.30000000000000066,10130.796539996894,10077.693791312175,-53.1027486847197,40973.229272086595,43220.02923980087,2246.7999677142725,0.0,0.0,0.0
3110.0,0.0,3.583043091601124,0.30000000000000066,10125.069402655507,10081.278924822833,-43.79047783267379,40999.72663564577,43173.00805851011,2173.28142286434,0.0,0.0,0.0
3120.0,0.0,3.583669573790619,0.30000000000000066,10120.322043353912,10084.218074974176,-36.103968379735306,41025.869086870145,43129.4986640094,2103.6295771392543,0.0,0.0,0.0
3130.0,0.0,3.58424694939711,0.30000000000000066,10116.393250603087,10086.631083589804,-29.762167013283033,41051.65926824587,43089.04485764413,2037.3855893982545,0.0,0.0,0.0
3140.0,0.0,3.5847816698258286,0.30000000000000066,10113.145149541018,10088.613500055597,-24.53164948542144,41077.09844877182,43051.27912462443,1974.1806758526072,0.0,0.0,0.0
3150.0,0.0,3.58527919294255,0.30000000000000066,10110.460980894477,10090.245120459935,-20.215860434542265,41102.18678673793,43015.88909988458,1913.7023131466485,0.0,0.0,0.0
3160.0,0.0,3.585743785250921,0.30000000000000066,10108.245223570066,10091.587164904782,-16.658058665283534,41126.92325673545,42982.62877120262,1855.7055144671685,0.0,0.0,0.0
3170.0,0.0,3.5861794667395896,0.30000000000000066,10106.415639796947,10092.696195614433,-13.719444182514053,41151.306194925084,42951.265171600535,1799.9589766754507,0.0,0.0,0.0
3180.0,0.0,3.5865887886432866,0.30000000000000066,10104.907817343937,10093.606406014273,-11.301411329664916,41175.33275609274,42921.64751936773,1746.3147632749897,0.0,0.0,0.0
3190.0,0.0,3.5869746648083893,0.30000000000000066,10103.664921006344,10094.356572408587,-9.308348597756776,41198.99992883626,42893.60400115427,1694.6040723180122,0.0,0.0,0.0
3200.0,0.0,3.587339054952291,0.30000000000000066,10102.641893039825,10094.970844069398,-7.671048970427364,41222.30394549188,42867.01608204991,1644.7121365580242,0.0,0.0,0.0
3210.0,0.0,3.587684100838221,0.30000000000000066,10101.79989540066,10095.475558802102,-6.324336598558148,41245.24104796019,42841.75464199261,1596.513594032418,0.0,0.0,0.0
3220.0,0.0,3.588011523522628,0.30000000000000066,10101.106829163798,10095.89052556863,-5.216303595168938,41267.80723931438,42817.71405334481,1549.9068140304298,0.0,0.0,0.0
3230.0,0.0,3.588322880495131,0.30000000000000066,10100.535991758556,10096.232941326449,-4.303050432106829,41289.99862494164,42794.79785120675,1504.7992262651096,0.0,0.0,0.0
3240.0,0.0,3.5886194734547368,0.30000000000000066,10100.065594288844,10096.51612289309,-3.5494713957541535,41311.81140259399,42772.92399570775,1461.112593113765,0.0,0.0,0.0
3250.0,0.0,3.5889024093809976,0.30000000000000066,10099.677354721953,10096.750546662395,-2.9268080595575157,41333.2420640636,42752.02158704263,1418.7795229790354,0.0,0.0,0.0
3260.0,0.0,3.5891726600051275,0.30000000000000066,10099.357018141547,10096.944623412188,-2.412394729359221,41354.287375792424,42732.02737156143,1377.7399957690068,0.0,0.0,0.0
3270.0,0.0,3.5894310346065343,0.30000000000000066,10099.092594644762,10097.1045282177,-1.988066427062222,41374.94456303193,42712.88753868374,1337.9429756518075,0.0,0.0,0.0
3280.0,0.0,3.589678383154914,0.30000000000000066,10098.874748309674,10097.236905027105,-1.63784328256952,41395.21119752538,42694.54595035002,1299.3347528246377,0.0,0.0,0.0
3290.0,0.0,3.5899153417285503,0.30000000000000066,10098.69520681945,10097.345668112335,-1.349538707114334,41415.085576732316,42676.959098664825,1261.87352193251,0.0,0.0,0.0
3300.0,0.0,3.590142539657965,0.30000000000000066,10098.547538585084,10097.434645002819,-1.1128935822653148,41434.566421524716,42660.083962071454,1225.517540546738,0.0,0.0,0.0
3310.0,0.0,3.590360612409008,0.30000000000000066,10098.427012659533,10097.507750507048,-0.9192621524853166,41453.65285209646,42643.87725986356,1190.2244077671057,0.0,0.0,0.0
3320.0,0.0,3.5905700609006637,0.30000000000000066,10098.327319494332,10097.567634738594,-0.7596847557379078,41472.345141705104,42628.304234891555,1155.9590931864514,0.0,0.0,0.0
3330.0,0.0,3.5907713738585536,0.30000000000000066,10098.24567353412,10097.61649487616,-0.6291786579604377,41490.64355277344,42613.3305320545,1122.686979281054,0.0,0.0,0.0
3340.0,0.0,3.590965009995189,0.30000000000000066,10098.17921330149,10097.656389999735,-0.5228233017551247,41508.549050097856,42598.92392607687,1090.3748759790178,0.0,0.0,0.0
3350.0,0.0,3.591151408337968,0.30000000000000066,10098.123090609643,10097.689664621903,-0.4334259877396107,41526.06364891961,42585.05408367491,1058.990434755302,0.0,0.0,0.0
3360.0,0.0,3.591330910503981,0.30000000000000066,10098.077311458477,10097.716845540283,-0.3604659181946772,41543.189017934244,42571.69567894608,1028.5066610118374,0.0,0.0,0.0
3370.0,0.0,3.5915038831346093,0.30000000000000066,10098.039256899898,10097.739418333838,-0.29983856605940673,41559.927926960096,42558.82278556334,998.894858603242,0.0,0.0,0.0
3380.0,0.0,3.591670662516522,0.30000000000000066,10098.00686345102,10097.758585614994,-0.24827783602631825,41576.28357472988,42546.411424784914,970.1278500550325,0.0,0.0,0.0
3390.0,0.0,3.591831515314601,0.30000000000000066,10097.980064353833,10097.774484475001,-0.20557987883148598,41592.259180371235,42534.44149200491,942.1823116336745,0.0,0.0,0.0
3400.0,0.0,3.5919867233778646,0.30000000000000066,10097.957632046942,10097.787837345826,-0.16979470111618866,41607.858718312455,42522.892529466866,915.0338111544115,0.0,0.0,0.0
3410.0,0.0,3.5921365370167315,0.30000000000000066,10097.938948663552,10097.799013646156,-0.13993501739605563,41623.086412692865,42511.74601299323,888.6596003003651,0.0,0.0,0.0
