cell,time_s,current_A,voltage_V,soc,negative_average_mol_m3,negative_surface_mol_m3,negative_gradient_mol_m3,positive_average_mol_m3,positive_surface_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
B,940.0,5.0,3.5426180453652822,0.4388888888888892,14234.350267199177,13326.32078445874,-908.0294827404377,35357.238761277964,41206.44615327592,5849.207391997959,0.07934460483989023,-0.013181175628830118,-0.09252578046872034
B,950.0,5.0,3.540662856913471,0.43611111111111145,14155.679712136625,13247.179439250414,-908.500272886211,35431.3863576972,41330.50913371881,5899.122776021613,0.07939077942779929,-0.013198442569909161,-0.09258922199770846
B,960.0,5.0,3.538719440945388,0.4333333333333337,14076.959252071023,13168.067579378872,-908.8916726921507,35506.04693014577,41453.60419558103,5947.557265435258,0.07943815261644231,-0.01321586124817524,-0.09265401386461755
B,960.0000000000001,0.0,3.6313734548100056,0.4333333333333336,14076.959252071023,13168.067579378872,-908.8916726921507,35506.04693014577,41453.60419558103,5947.557265435258,0.0,0.0,0.0
B,970.0,0.0,3.6411217321026856,0.4333333333333336,14029.244886967062,13408.370913984365,-620.8739729826975,35545.093020055196,40796.7213320626,5251.628312007408,0.0,0.0,0.0
B,980.0,0.0,3.6467320749268035,0.4333333333333336,13986.042917645074,13489.484179365934,-496.55873827914,35583.13937956466,40420.957484479884,4837.818104915226,0.0,0.0,0.0
B,990.0,0.0,3.6507134219552797,0.4333333333333336,13946.694138426168,13540.241811096994,-406.4523273291743,35620.48957539963,40159.09154847264,4538.601973073011,0.0,0.0,0.0
B,1000.0,0.0,3.6538404781886964,0.4333333333333336,13911.276312266269,13576.267292321989,-335.0090199442802,35657.29693860154,39956.58311370925,4299.286175107707,0.0,0.0,0.0
B,1010.0,0.0,3.656437393104338,0.4333333333333336,13879.978862274107,13603.351165869535,-276.6276964045719,35693.652772920075,39790.66687385757,4097.014100937493,0.0,0.0,0.0
B,1020.0,0.0,3.6586700482586005,0.4333333333333336,13852.82203208419,13624.369918401786,-228.45211368240416,35729.617023871906,39649.73392871195,3920.1169048400407,0.0,0.0,0.0
B,1030.0,0.0,3.660631445799781,0.4333333333333336,13829.606310602347,13640.979346302076,-188.62696430027063,35765.23056033596,39527.27127601298,3762.0407156770234,0.0,0.0,0.0
B,1040.0,0.0,3.6623834424833603,0.4333333333333336,13809.974740438101,13654.291787152475,-155.68295328562635,35800.522426942676,39418.9772037372,3618.454776794526,0.0,0.0,0.0
B,1050.0,0.0,3.663968067482796,0.4333333333333336,13793.504162159918,13665.061056119332,-128.44310604058592,35835.51302555309,39321.93678256987,3486.4237570167825,0.0,0.0,0.0
B,1060.0,0.0,3.6654147663289067,0.4333333333333336,13779.76385541083,13673.82624777842,-105.93760763241153,35870.216136084484,39234.109190710136,3363.8930546256524,0.0,0.0,0.0
B,1070.0,0.0,3.666744929666651,0.4333333333333336,13768.342629850387,13680.983385342848,-87.35924450753919,35904.6402017256,39154.0110824119,3249.3708806862996,0.0,0.0,0.0
B,1080.0,0.0,3.6679752790004074,0.4333333333333336,13758.871606997578,13686.8409837588,-72.03062323877748,35938.78944907374,39080.48882290027,3141.69937382653,0.0,0.0,0.0
B,1090.0,0.0,3.6691193416248975,0.4333333333333336,13751.032369495433,13691.646645040662,-59.38572445477075,35972.6645653984,39012.615940878175,3039.9513754797736,0.0,0.0,0.0
B,1100.0,0.0,3.670187922074968,0.4333333333333336,13744.55327962201,13695.596680553057,-48.95659906895344,36006.263070326575,38949.654737802775,2943.3916674762004,0.0,0.0,0.0
B,1110.0,0.0,3.6711899943601773,0.4333333333333336,13739.20090495146,13698.851114686197,-40.34979026526344,36039.57984467909,38890.99640383241,2851.4165591533238,0.0,0.0,0.0
B,1120.0,0.0,3.672132430353628,0.4333333333333336,13734.782490299816,13701.531416377798,-33.251073922017895,36072.60706489438,38836.17077258008,2763.563707685702,0.0,0.0,0.0
B,1130.0,0.0,3.6730212646820624,0.4333333333333336,13731.135438147641,13703.740288407611,-27.39514974003032,36105.33497311047,38784.76908947366,2679.4341163631907,0.0,0.0,0.0
B,1140.0,0.0,3.673861507794362,0.4333333333333336,13728.125418284897,13705.560152862166,-22.56526542273059,36137.752063256376,38736.45192819324,2598.6998649368616,0.0,0.0,0.0
B,1150.0,0.0,3.674657337671108,0.4333333333333336,13725.643890163657,13707.056637572527,-18.58725259113089,36169.84526491473,38690.93579341098,2521.09052849625,0.0,0.0,0.0
B,1160.0,0.0,3.675413120987963,0.4333333333333336,13723.591019575531,13708.295024202618,-15.29599537291324,36201.60131434121,38647.93419957448,2446.3328852332706,0.0,0.0,0.0
B,1170.0,0.0,3.6761315160040113,0.4333333333333336,13721.903055526747,13709.311438544135,-12.591616982612322,36233.00457721868,38607.26247099274,2374.257893774062,0.0,0.0,0.0
B,1180.0,0.0,3.6768162629297403,0.4333333333333336,13720.502531659688,13710.157352436863,-10.3451792228243,36264.04137166027,38568.68099652952,2304.639624869247,0.0,0.0,0.0
B,1190.0,0.0,3.677469131058504,0.4333333333333336,13719.351522832334,13710.851745817647,-8.499777014687425,36294.69530280297,38532.06379859309,2237.3684957901205,0.0,0.0,0.0
B,1200.0,0.0,3.6780924142541878,0.4333333333333336,13718.407146706242,13711.420885498568,-6.986261207674033,36324.951484450525,38497.25934537883,2172.307860928304,0.0,0.0,0.0
B,1210.0,0.0,3.6786883545781524,0.4333333333333336,13717.630144759958,13711.889506360956,-5.740638399001909,36354.79577504694,38464.122318518945,2109.3265434720015,0.0,0.0,0.0
B,1220.0,0.0,3.6792583914200487,0.4333333333333336,13716.996176225777,13712.26951568893,-4.726660536847703,36384.213742759894,38432.5540040503,2048.340261290403,0.0,0.0,0.0
B,1230.0,0.0,3.679804458065277,0.4333333333333336,13716.478088600223,13712.579860896018,-3.8982277042050555,36413.192824259335,38402.431193656535,1989.2383693972006,0.0,0.0,0.0
B,1240.0,0.0,3.680328162610554,0.4333333333333336,13716.051757460698,13712.83478485971,-3.216972600988811,36441.721302607955,38373.65065018325,1931.929347575293,0.0,0.0,0.0
B,1250.0,0.0,3.680830696286414,0.4333333333333336,13715.704665418889,13713.041646589932,-2.6630188289564103,36469.78789207722,38346.13345947555,1876.3455673983335,0.0,0.0,0.0
B,1260.0,0.0,3.681313571442515,0.4333333333333336,13715.417601714307,13713.213290674476,-2.2043110398317367,36497.38352031372,38319.78516082093,1822.4016405072107,0.0,0.0,0.0
B,1270.0,0.0,3.6817779194282196,0.4333333333333336,13715.179176143924,13713.356656214228,-1.8225199296957726,36524.49964720059,38294.53325215543,1770.0336049548423,0.0,0.0,0.0
B,1280.0,0.0,3.6822246569799297,0.4333333333333336,13714.981922429442,13713.475649742662,-1.5062726867799938,36551.128767747905,38270.317935803105,1719.1891680551998,0.0,0.0,0.0
B,1290.0,0.0,3.682654744258684,0.4333333333333336,13714.817449745333,13713.575322972003,-1.242126773329801,36577.26505570653,38247.078223064884,1669.8131673583557,0.0,0.0,0.0
B,1300.0,0.0,3.6830690072986916,0.4333333333333336,13714.680664588024,13713.658616298615,-1.0220482894092129,36602.90319547384,38224.76122328257,1621.858027808732,0.0,0.0,0.0
B,1310.0,0.0,3.683468119391105,0.4333333333333336,13714.567905968986,13713.726833274446,-0.841072694540344,36628.039456619204,38203.323006236344,1575.2835496171392,0.0,0.0,0.0
B,1320.0,0.0,3.6838529701196783,0.4333333333333336,13714.473853255182,13713.784521236073,-0.6893320191084058,36652.67091035073,38182.709032864674,1530.0381225139427,0.0,0.0,0.0
